date,y,glmnet_pred,xgb_pred,svmpoly_pred,DNN_predict
2020/10/01,10620.5,11042.77751,10891.40234,8194.45959,5314.425
2020/10/02,10572.3,10971.91988,10186.70605,8091.44645,5216.5435
2020/10/03,10544.2,10826.00406,10390.70703,8068.85073,5091.0938
2020/10/04,10672.9,10977.67833,10416.57129,8120.805518,5242.036
2020/10/05,10789.5,11016.06666,10761.8291,8118.479994,5248.8613
2020/10/06,10602.6,11170.33261,11124.60645,8250.57084,5465.8784
2020/10/07,10670.9,11110.53186,10909.2373,8150.916146,5385.922
2020/10/08,10924.1,11369.79539,10998.65234,8226.761606,5555.2295
2020/10/09,11054.2,11388.45724,10972.62109,8285.856335,5678.3394
2020/10/10,11298.4,11585.09275,10861.03418,8423.381355,5932.978
2020/10/11,11371,11680.30194,11126.95801,8472.784855,6048.2
2020/10/12,11533.9,11731.01725,11594.10742,8409.863864,6107.924
2020/10/13,11423.8,12060.75496,11651.40625,8515.348379,6407.674
2020/10/14,11420.4,12128.46844,11559.74609,8442.928834,6445.1567
2020/10/15,11503,12395.43642,11702.31836,8519.877039,6684.9697
2020/10/16,11322,12283.3994,11698.1875,8428.980462,6645.9478
2020/10/17,11362.1,12616.79491,11787.7627,8546.805892,7031.496
2020/10/18,11506.9,12602.42115,11736.79688,8524.098263,6990.2046
2020/10/19,11753.4,12867.17734,11666.69141,8528.057295,7268.1655
2020/10/20,11913.5,13075.10588,11446.83398,8566.4425,7461.1587
2020/10/21,12808.7,13371.46403,11411.80762,8696.453091,7750.753
2020/10/22,12974.6,13789.02738,11988.43652,9012.232012,8242.7705
2020/10/23,12934.1,13891.51484,11935.13965,9043.659956,8399.515
2020/10/24,13117.2,13913.43257,11680.71191,9030.500913,8493.024
2020/10/25,13032.2,14234.78445,11618.79883,9105.522475,8722.821
2020/10/26,13061.6,14334.60383,11673.63574,9088.849681,8852.136
2020/10/27,13657.8,14071.77897,11401.02832,8738.647929,8559.282
2020/10/28,13278.9,14377.32028,11774.56445,8960.821118,8868.493
2020/10/29,13457.2,14535.55437,11504.59668,8895.509274,9009.155
2020/10/30,13559.9,14859.83183,12143.34277,9077.487526,9353.996
2020/10/31,13797.3,14976.87128,11777.07617,9063.559562,9507.511
2020/11/01,13759.4,15067.85853,11663.42578,9048.947163,9598.8125
2020/11/02,13561.4,15184.17728,11889.45605,9019.529442,9705.423
2020/11/03,14019.9,15307.47074,11728.08496,9034.206463,9927.69
2020/11/04,14145.6,15595.62801,12016.99316,9107.630107,10129.764
2020/11/05,15587.1,15813.18202,11572.62109,9063.564621,10260.618
2020/11/06,15577.9,16220.48652,12219.7832,9540.276682,10849.073
2020/11/07,14828.4,16330.36222,12034.92578,9503.129341,11005.786
2020/11/08,15483.7,15749.30845,11623.21582,9356.358016,10777.63
2020/11/09,15327.2,16512.00481,12197.99512,9558.977344,11349.872
2020/11/10,15303.6,16828.26702,12165.55273,9568.033971,11539.231
2020/11/11,15695.8,16969.64702,11867.11719,9468.889318,11626.761
2020/11/12,16294.7,17102.69537,12150.78711,9502.460588,11793.349
